group,puzzle_date,difficulty_emoji,order,word
band names minus numbers,2023-07-05,🟣,3,sum
band names minus numbers,2023-07-05,🟣,4,u
60s band members,2023-07-04,🟡,1,beach boy
60s band members,2023-07-04,🟡,2,beatle
60s band members,2023-07-04,🟡,3,byrd
60s band members,2023-07-04,🟡,4,monkee
dance fads,2023-07-04,🟢,1,dougie
dance fads,2023-07-04,🟢,2,macarena
dance fads,2023-07-04,🟢,3,mashed potato
dance fads,2023-07-04,🟢,4,twist
magazines,2023-07-04,🔵,1,fortune
magazines,2023-07-04,🔵,2,rolling stone
magazines,2023-07-04,🔵,3,vogue
magazines,2023-07-04,🔵,4,wired
things with links,2023-07-04,🟣,1,chain
things with links,2023-07-04,🟣,2,golf course
things with links,2023-07-04,🟣,3,sausage
things with links,2023-07-04,🟣,4,website
dog breeds,2023-07-03,🟡,1,boxer
dog breeds,2023-07-03,🟡,2,dalmatian
dog breeds,2023-07-03,🟡,3,husky
dog breeds,2023-07-03,🟡,4,poodle
animal noses,2023-07-03,🟢,1,beak
animal noses,2023-07-03,🟢,2,muzzle
animal noses,2023-07-03,🟢,3,snout
animal noses,2023-07-03,🟢,4,trunk
traffic signs,2023-07-03,🔵,1,detour
traffic signs,2023-07-03,🔵,2,slow
traffic signs,2023-07-03,🔵,3,stop
traffic signs,2023-07-03,🔵,4,yield
sound ___,2023-07-03,🟣,1,asleep
sound ___,2023-07-03,🟣,2,barrier
sound ___,2023-07-03,🟣,3,bite
sound ___,2023-07-03,🟣,4,wave
music genres,2023-07-02,🟡,1,jazz
music genres,2023-07-02,🟡,2,pop
music genres,2023-07-02,🟡,3,punk
music genres,2023-07-02,🟡,4,rap
web browsers,2023-07-02,🟢,1,chrome
web browsers,2023-07-02,🟢,2,edge
web browsers,2023-07-02,🟢,3,opera
web browsers,2023-07-02,🟢,4,safari
little women,2023-07-02,🔵,1,amy
little women,2023-07-02,🔵,2,beth
little women,2023-07-02,🔵,3,jo
little women,2023-07-02,🔵,4,meg
lil __ rappers,2023-07-02,🟣,1,baby
lil __ rappers,2023-07-02,🟣,2,jon
lil __ rappers,2023-07-02,🟣,3,kim
lil __ rappers,2023-07-02,🟣,4,wayne
grains,2023-07-01,🟡,1,barley
grains,2023-07-01,🟡,2,oat
grains,2023-07-01,🟡,3,rye
grains,2023-07-01,🟡,4,spelt
royal titles,2023-07-01,🟢,1,baron
royal titles,2023-07-01,🟢,2,earl
royal titles,2023-07-01,🟢,3,king
royal titles,2023-07-01,🟢,4,prince
universities,2023-07-01,🔵,1,brown
universities,2023-07-01,🔵,2,duke
universities,2023-07-01,🔵,3,howard
universities,2023-07-01,🔵,4,rice
best director oscar winners,2023-07-01,🟣,1,bong
best director oscar winners,2023-07-01,🟣,2,ford
best director oscar winners,2023-07-01,🟣,3,lee
best director oscar winners,2023-07-01,🟣,4,stone
off-white shades,2023-06-30,🟡,1,cream
off-white shades,2023-06-30,🟡,2,eggshell
off-white shades,2023-06-30,🟡,3,ivory
off-white shades,2023-06-30,🟡,4,vanilla
anti-vampire,2023-06-30,🟢,1,crucifix
anti-vampire,2023-06-30,🟢,2,garlic
anti-vampire,2023-06-30,🟢,3,mirror
anti-vampire,2023-06-30,🟢,4,stake
kinds of meat,2023-06-30,🔵,1,beef
kinds of meat,2023-06-30,🔵,2,pork
kinds of meat,2023-06-30,🔵,3,poultry
kinds of meat,2023-06-30,🔵,4,venison
synonyms for argument,2023-06-30,🟣,1,row
synonyms for argument,2023-06-30,🟣,2,quarrel
synonyms for argument,2023-06-30,🟣,3,spat
synonyms for argument,2023-06-30,🟣,4,tiff
muscles informally,2023-06-29,🟡,1,lat
muscles informally,2023-06-29,🟡,2,pec
muscles informally,2023-06-29,🟡,3,quad
muscles informally,2023-06-29,🟡,4,tri
awards,2023-06-29,🟢,1,cup
awards,2023-06-29,🟢,2,medal
awards,2023-06-29,🟢,3,ribbon
awards,2023-06-29,🟢,4,trophy
title tv doctors,2023-06-29,🔵,1,grey
title tv doctors,2023-06-29,🔵,2,house
title tv doctors,2023-06-29,🔵,3,howser
title tv doctors,2023-06-29,🔵,4,quinn
nfl players,2023-06-29,🟣,1,bear
nfl players,2023-06-29,🟣,2,bill
nfl players,2023-06-29,🟣,3,brown
nfl players,2023-06-29,🟣,4,commander
neckwear,2023-06-28,🟡,1,ascot
neckwear,2023-06-28,🟡,2,bolo
neckwear,2023-06-28,🟡,3,scarf
neckwear,2023-06-28,🟡,4,tie
ship directions,2023-06-28,🟢,1,bow
ship directions,2023-06-28,🟢,2,port
ship directions,2023-06-28,🟢,3,starboard
ship directions,2023-06-28,🟢,4,stern
___ triangle,2023-06-28,🟣,1,acute
___ triangle,2023-06-28,🟣,2,bermuda
___ triangle,2023-06-28,🟣,3,love
___ triangle,2023-06-28,🟣,4,right
detergents,2023-06-28,🔵,1,all
detergents,2023-06-28,🔵,2,era
detergents,2023-06-28,🔵,3,gain
detergents,2023-06-28,🔵,4,tide
coffee drinks,2023-06-27,🟡,1,americano
coffee drinks,2023-06-27,🟡,2,cappucino
coffee drinks,2023-06-27,🟡,3,espresso
coffee drinks,2023-06-27,🟡,4,latte
tree nuts,2023-06-27,🟢,1,almond
tree nuts,2023-06-27,🟢,2,pecan
tree nuts,2023-06-27,🟢,3,walnut
tree nuts,2023-06-27,🟢,4,cashew
shades of green,2023-06-27,🔵,1,emerald
shades of green,2023-06-27,🔵,2,forest
shades of green,2023-06-27,🔵,3,kelly
shades of green,2023-06-27,🔵,4,olive
mr.____,2023-06-27,🟣,1,bean
mr.____,2023-06-27,🟣,2,clean
mr.____,2023-06-27,🟣,3,fox
mr.____,2023-06-27,🟣,4,peanut
bird sounds,2023-06-26,🟡,1,caw
bird sounds,2023-06-26,🟡,2,chirp
bird sounds,2023-06-26,🟡,3,cluck
bird sounds,2023-06-26,🟡,4,tweet
colors,2023-06-26,🟢,1,brown
colors,2023-06-26,🟢,2,pink
colors,2023-06-26,🟢,3,turquoise
colors,2023-06-26,🟢,4,violet
fishing gear,2023-06-26,🔵,1,lure
fishing gear,2023-06-26,🔵,2,reel
fishing gear,2023-06-26,🔵,3,rod
fishing gear,2023-06-26,🔵,4,tackle
fictional pirates,2023-06-26,🟣,1,hook
fictional pirates,2023-06-26,🟣,2,jones
fictional pirates,2023-06-26,🟣,3,silver
fictional pirates,2023-06-26,🟣,4,sparrow
beds,2023-06-25,🟡,1,bunk
beds,2023-06-25,🟡,2,canopy
beds,2023-06-25,🟡,3,murphy
beds,2023-06-25,🟡,4,trundle
famous brothers,2023-06-25,🟢,1,jonas
famous brothers,2023-06-25,🟢,2,marx
famous brothers,2023-06-25,🟢,3,warner
famous brothers,2023-06-25,🟢,4,wright
hondas,2023-06-25,🔵,1,accord
hondas,2023-06-25,🔵,2,civic
hondas,2023-06-25,🔵,3,passport
hondas,2023-06-25,🔵,4,pilot
video game characters,2023-06-25,🟣,1,crash
video game characters,2023-06-25,🟣,2,link
video game characters,2023-06-25,🟣,3,mario
video game characters,2023-06-25,🟣,4,sonic
airlines,2023-06-24,🟡,1,frontier
airlines,2023-06-24,🟡,2,spirit
airlines,2023-06-24,🟡,3,united
airlines,2023-06-24,🟡,4,virgin
greek letters,2023-06-24,🟢,1,beat
greek letters,2023-06-24,🟢,2,chi
greek letters,2023-06-24,🟢,3,delta
greek letters,2023-06-24,🟢,4,iota
silent “g”,2023-06-24,🔵,1,gnat
silent “g”,2023-06-24,🔵,2,gnaw
silent “g”,2023-06-24,🔵,3,gnocci
silent “g”,2023-06-24,🔵,4,gnome
homophones,2023-06-24,🟣,1,gnu
homophones,2023-06-24,🟣,2,knew
homophones,2023-06-24,🟣,3,new
homophones,2023-06-24,🟣,4,nu
animal group names,2023-06-23,🟡,1,flock
animal group names,2023-06-23,🟡,2,pad
animal group names,2023-06-23,🟡,3,school
animal group names,2023-06-23,🟡,4,pod
deadly sins,2023-06-23,🟢,1,envy
deadly sins,2023-06-23,🟢,2,greed
deadly sins,2023-06-23,🟢,3,lust
deadly sins,2023-06-23,🟢,4,pride
slow animals,2023-06-23,🔵,1,loris
slow animals,2023-06-23,🔵,2,sloth
slow animals,2023-06-23,🔵,3,snail
slow animals,2023-06-23,🔵,4,tortoise
trig functions,2023-06-23,🟣,1,cot
trig functions,2023-06-23,🟣,2,sec
trig functions,2023-06-23,🟣,3,sin
trig functions,2023-06-23,🟣,4,tan
spices beginning with “c”,2023-06-22,🟡,1,cardamom
spices beginning with “c”,2023-06-22,🟡,2,clove
spices beginning with “c”,2023-06-22,🟡,3,coriander
spices beginning with “c”,2023-06-22,🟡,4,cumin
terms of endearment,2023-06-22,🟢,1,boo
terms of endearment,2023-06-22,🟢,2,honey
terms of endearment,2023-06-22,🟢,3,sugar
terms of endearment,2023-06-22,🟢,4,sweetie
things with wings,2023-06-22,🔵,1,airplane
things with wings,2023-06-22,🔵,2,angel
things with wings,2023-06-22,🔵,3,bird
things with wings,2023-06-22,🔵,4,pegasus
spice girls,2023-06-22,🟣,1,baby
spice girls,2023-06-22,🟣,2,ginger
spice girls,2023-06-22,🟣,3,posh
spice girls,2023-06-22,🟣,4,scary
fruit,2023-06-21,🟡,1,date
fruit,2023-06-21,🟡,2,kiwi
fruit,2023-06-21,🟡,3,lemon
fruit,2023-06-21,🟡,4,orange
countries,2023-06-21,🟢,1,chad
countries,2023-06-21,🟢,2,georgia
countries,2023-06-21,🟢,3,jordan
countries,2023-06-21,🟢,4,togo
birds,2023-06-21,🔵,1,crane
birds,2023-06-21,🔵,2,jay
birds,2023-06-21,🔵,3,swallow
birds,2023-06-21,🔵,4,turkey
zodiac symbols,2023-06-21,🟣,1,fish
zodiac symbols,2023-06-21,🟣,2,goat
zodiac symbols,2023-06-21,🟣,3,scales
zodiac symbols,2023-06-21,🟣,4,twins
sports,2023-06-20,🟡,1,cricket
sports,2023-06-20,🟡,2,fencing
sports,2023-06-20,🟡,3,polo
sports,2023-06-20,🟡,4,squash
tops,2023-06-20,🟢,1,cami
tops,2023-06-20,🟢,2,halter
tops,2023-06-20,🟢,3,tank
tops,2023-06-20,🟢,4,tee
vegetables,2023-06-20,🔵,1,beet
vegetables,2023-06-20,🔵,2,carrot
vegetables,2023-06-20,🔵,3,corn
vegetables,2023-06-20,🔵,4,onion
insects,2023-06-20,🟣,1,ant
insects,2023-06-20,🟣,2,beetle
insects,2023-06-20,🟣,3,mantis
insects,2023-06-20,🟣,4,termite
board games,2023-06-19,🟡,1,backgammon
board games,2023-06-19,🟡,2,checkers
board games,2023-06-19,🟡,3,chess
board games,2023-06-19,🟡,4,go
things that are red,2023-06-19,🔵,1,cherry
things that are red,2023-06-19,🔵,2,fire truck
things that are red,2023-06-19,🔵,3,ruby
things that are red,2023-06-19,🔵,4,stop sign
mattress sizes,2023-06-19,🟢,1,full
mattress sizes,2023-06-19,🟢,2,king
mattress sizes,2023-06-19,🟢,3,queen
mattress sizes,2023-06-19,🟢,4,twin
things with keys,2023-06-19,🟣,1,cryptography
things with keys,2023-06-19,🟣,2,florida
things with keys,2023-06-19,🟣,3,locksmith
things with keys,2023-06-19,🟣,4,piano
leg parts,2023-06-18,🟡,1,ankle
leg parts,2023-06-18,🟡,2,knee
leg parts,2023-06-18,🟡,3,shin
leg parts,2023-06-18,🟡,4,thigh
baby animals,2023-06-18,🟢,1,calf
baby animals,2023-06-18,🟢,2,cub
baby animals,2023-06-18,🟢,3,joey
baby animals,2023-06-18,🟢,4,kid
slang for toilet,2023-06-18,🔵,1,can
slang for toilet,2023-06-18,🔵,2,head
slang for toilet,2023-06-18,🔵,3,john
slang for toilet,2023-06-18,🔵,4,throne
___ fish that aren’t fish,2023-06-18,🟣,1,cray
___ fish that aren’t fish,2023-06-18,🟣,2,jelly
___ fish that aren’t fish,2023-06-18,🟣,3,silver
___ fish that aren’t fish,2023-06-18,🟣,4,star
monopoly squares,2023-06-17,🟡,1,boardwalk
monopoly squares,2023-06-17,🟡,2,chance
monopoly squares,2023-06-17,🟡,3,go
monopoly squares,2023-06-17,🟡,4,jail
shades of blue,2023-06-17,🟢,1,baby
shades of blue,2023-06-17,🟢,2,midnight
shades of blue,2023-06-17,🟢,3,powder
shades of blue,2023-06-17,🟢,4,royal
rappers,2023-06-17,🔵,1,common
rappers,2023-06-17,🔵,2,future
rappers,2023-06-17,🔵,3,ice cube
rappers,2023-06-17,🔵,4,q-tip
members of a septet,2023-06-17,🟣,1,sea
members of a septet,2023-06-17,🟣,2,sin
members of a septet,2023-06-17,🟣,3,sister
members of a septet,2023-06-17,🟣,4,wonder
streaming services,2023-06-16,🟡,1,hulu
streaming services,2023-06-16,🟡,2,netflix
streaming services,2023-06-16,🟡,3,peacock
streaming services,2023-06-16,🟡,4,prime
condiments,2023-06-16,🟢,1,ketchup
condiments,2023-06-16,🟢,2,mayo
condiments,2023-06-16,🟢,3,relish
condiments,2023-06-16,🟢,4,tartar
synonyms for sad,2023-06-16,🔵,1,blue
synonyms for sad,2023-06-16,🔵,2,down
synonyms for sad,2023-06-16,🔵,3,glum
synonyms for sad,2023-06-16,🔵,4,low
clue characters,2023-06-16,🟣,1,green
clue characters,2023-06-16,🟣,2,mustard
clue characters,2023-06-16,🟣,3,plum
clue characters,2023-06-16,🟣,4,scarlet
sneaker brands,2023-06-15,🟡,1,adidas
sneaker brands,2023-06-15,🟡,2,nike
sneaker brands,2023-06-15,🟡,3,puma
sneaker brands,2023-06-15,🟡,4,reebok
musicals beginning with “c”,2023-06-15,🟢,1,cabaret
musicals beginning with “c”,2023-06-15,🟢,2,carousel
musicals beginning with “c”,2023-06-15,🟢,3,cats
musicals beginning with “c”,2023-06-15,🟢,4,chicago
cleaning verbs,2023-06-15,🔵,1,dust
cleaning verbs,2023-06-15,🔵,2,mop
cleaning verbs,2023-06-15,🔵,3,sweep
cleaning verbs,2023-06-15,🔵,4,vacuum
___ man superheroes,2023-06-15,🟣,1,bat
___ man superheroes,2023-06-15,🟣,2,iron
___ man superheroes,2023-06-15,🟣,3,spider
___ man superheroes,2023-06-15,🟣,4,super
facial features,2023-06-14,🟡,1,cheek
facial features,2023-06-14,🟡,2,eye
facial features,2023-06-14,🟡,3,mouth
facial features,2023-06-14,🟡,4,nose
synonyms for eat,2023-06-14,🟢,1,chow
synonyms for eat,2023-06-14,🟢,2,gobble
synonyms for eat,2023-06-14,🟢,3,scarf
synonyms for eat,2023-06-14,🟢,4,wolf
"dog breeds, informally",2023-06-14,🔵,1,lab
"dog breeds, informally",2023-06-14,🔵,2,peke
"dog breeds, informally",2023-06-14,🔵,3,pit
"dog breeds, informally",2023-06-14,🔵,4,pom
members of a trio,2023-06-14,🟣,1,amigo
members of a trio,2023-06-14,🟣,2,king
members of a trio,2023-06-14,🟣,3,stooge
members of a trio,2023-06-14,🟣,4,tenor
footwear,2023-06-13,🟡,1,boot
footwear,2023-06-13,🟡,2,loafer
footwear,2023-06-13,🟡,3,pump
footwear,2023-06-13,🟡,4,sneaker
units of length,2023-06-13,🟢,1,foot
units of length,2023-06-13,🟢,2,league
units of length,2023-06-13,🟢,3,mile
units of length,2023-06-13,🟢,4,yard
magazines,2023-06-13,🔵,1,essence
magazines,2023-06-13,🔵,2,people
magazines,2023-06-13,🔵,3,time
magazines,2023-06-13,🔵,4,us
letter homophones,2023-06-13,🟣,1,are
letter homophones,2023-06-13,🟣,2,queue
letter homophones,2023-06-13,🟣,3,sea
letter homophones,2023-06-13,🟣,4,why
wet weather,2023-06-12,🟡,1,hair
wet weather,2023-06-12,🟡,2,rain
wet weather,2023-06-12,🟡,3,sleet
wet weather,2023-06-12,🟡,4,snow
nba teams,2023-06-12,🟢,1,bucks
nba teams,2023-06-12,🟢,2,heat
nba teams,2023-06-12,🟢,3,jazz
nba teams,2023-06-12,🟢,4,nets
keyboard keys,2023-06-12,🔵,1,option
keyboard keys,2023-06-12,🔵,2,return
keyboard keys,2023-06-12,🔵,3,shift
keyboard keys,2023-06-12,🔵,4,tab
palindromes,2023-06-12,🟣,1,kayak
palindromes,2023-06-12,🟣,2,level
palindromes,2023-06-12,🟣,3,mom
palindromes,2023-06-12,🟣,4,race car
